timestamp,temperatura,vibracion,presion,falla
2024-01-01 00:00:00,72.48,2.79,28.64,0
2024-01-01 01:00:00,69.31,2.77,29.39,0
2024-01-01 02:00:00,73.24,2.1,28.81,0
2024-01-01 03:00:00,77.62,2.83,30.22,0
2024-01-01 04:00:00,68.83,3.37,32.39,0
2024-01-01 05:00:00,68.83,2.36,28.46,0
2024-01-01 06:00:00,77.9,3.52,32.0,0
2024-01-01 07:00:00,73.84,3.24,28.44,0
2024-01-01 08:00:00,67.65,2.63,28.3,0
2024-01-01 09:00:00,72.71,2.93,31.64,0
2024-01-01 10:00:00,67.68,3.8,31.84,0
2024-01-01 11:00:00,67.67,3.37,31.7,0
2024-01-01 12:00:00,71.21,3.0,27.37,0
2024-01-01 13:00:00,60.43,2.88,29.07,0
2024-01-01 14:00:00,61.38,3.04,31.65,0
2024-01-01 15:00:00,67.19,2.74,30.08,0
2024-01-01 16:00:00,64.94,1.95,27.85,0
2024-01-01 17:00:00,71.57,4.02,30.92,1
2024-01-01 18:00:00,65.46,3.08,28.57,0
2024-01-01 19:00:00,62.94,3.2,33.59,0
2024-01-01 20:00:00,77.33,2.97,33.09,0
2024-01-01 21:00:00,68.87,2.63,31.21,0
2024-01-01 22:00:00,70.34,2.91,32.72,0
2024-01-01 23:00:00,62.88,2.2,30.13,0
2024-01-02 00:00:00,67.28,4.14,31.53,1
2024-01-02 01:00:00,70.55,2.38,32.96,0
2024-01-02 02:00:00,64.25,2.48,30.49,0
2024-01-02 03:00:00,71.88,2.78,29.49,0
2024-01-02 04:00:00,67.0,3.64,26.59,0
2024-01-02 05:00:00,68.54,3.01,29.83,0
2024-01-02 06:00:00,66.99,2.38,31.65,0
2024-01-02 07:00:00,79.26,3.63,31.89,0
2024-01-02 08:00:00,69.93,3.37,31.01,0
2024-01-02 09:00:00,64.71,3.27,28.92,0
2024-01-02 10:00:00,74.11,3.36,26.05,0
2024-01-02 11:00:00,63.9,4.2,29.01,1
2024-01-02 12:00:00,71.04,4.09,29.39,1
2024-01-02 13:00:00,60.2,2.66,29.37,0
2024-01-02 14:00:00,63.36,3.81,31.24,0
2024-01-02 15:00:00,70.98,3.19,33.97,0
2024-01-02 16:00:00,73.69,3.25,30.25,0
2024-01-02 17:00:00,70.86,2.15,29.57,0
2024-01-02 18:00:00,69.42,2.91,29.48,0
2024-01-02 19:00:00,68.49,2.59,30.25,0
2024-01-02 20:00:00,62.61,3.41,28.34,0
2024-01-02 21:00:00,66.4,3.54,30.24,0
2024-01-02 22:00:00,67.7,1.96,30.9,0
2024-01-02 23:00:00,75.29,2.99,30.42,0
2024-01-03 00:00:00,71.72,3.56,30.92,0
2024-01-03 01:00:00,61.18,2.91,30.87,0
2024-01-03 02:00:00,71.62,3.36,26.46,0
2024-01-03 03:00:00,68.07,3.18,31.27,0
2024-01-03 04:00:00,66.62,3.17,28.66,0
2024-01-03 05:00:00,73.06,2.86,27.81,0
2024-01-03 06:00:00,75.15,2.39,27.79,0
2024-01-03 07:00:00,74.66,2.44,30.87,0
2024-01-03 08:00:00,65.8,3.35,29.55,0
2024-01-03 09:00:00,68.45,3.01,26.64,0
2024-01-03 10:00:00,71.66,2.93,30.96,0
2024-01-03 11:00:00,74.88,2.79,27.12,0
2024-01-03 12:00:00,67.6,2.85,30.28,0
